customer_id,churn,churn_label,churn_probability,churn_prediction,prediction_label,risk_level,recency,frequency,monetary,avg_basket,n_distinct_products,tenure_days,n_cancellations,cancellation_rate,segment_rfm,kmeans_cluster
13758.0,0,Actif,0.09181860822320277,0,Va rester,3 - Risque faible,10,13,8577.95,659.84,199,547,4,0.3077,Champions,3
16818.0,0,Actif,0.2612958187797646,0,Va rester,3 - Risque faible,10,2,726.24,363.12,45,14,2,1.0,Potentiellement Fidèles,0
15288.0,0,Actif,0.16430571600602065,0,Va rester,3 - Risque faible,9,8,3200.61,400.08,114,474,0,0.0,Champions,3
13479.0,1,Churné,0.24683008740453355,0,Va rester,3 - Risque faible,9,4,851.37,212.84,45,286,3,0.75,Potentiellement Fidèles,0
12989.0,0,Actif,0.10446538370569812,0,Va rester,3 - Risque faible,9,25,9955.58,398.22,23,538,4,0.16,Champions,3
16523.0,0,Actif,0.12212428267899902,0,Va rester,3 - Risque faible,8,15,5333.46,355.56,107,493,5,0.3333,Champions,3
14258.0,0,Actif,0.08530032883669622,0,Va rester,3 - Risque faible,8,22,26989.18,1226.78,87,544,6,0.2727,Champions,3
15987.0,0,Actif,0.2470065438552267,0,Va rester,3 - Risque faible,8,5,746.93,149.39,50,188,0,0.0,Champions,0
16992.0,0,Actif,0.12198197786761399,0,Va rester,3 - Risque faible,8,10,4533.34,453.33,184,475,2,0.2,Champions,3
17365.0,0,Actif,0.07420141349191631,0,Va rester,3 - Risque faible,8,11,5320.61,483.69,311,485,1,0.0909,Champions,3
18202.0,1,Churné,0.2691767801302921,0,Va rester,3 - Risque faible,8,3,1396.99,465.66,55,120,0,0.0,Potentiellement Fidèles,0
17272.0,0,Actif,0.2540746822480259,0,Va rester,3 - Risque faible,8,2,1409.44,704.72,59,71,1,0.5,Potentiellement Fidèles,0
16327.0,0,Actif,0.06907360848848086,0,Va rester,3 - Risque faible,8,14,9356.76,668.34,270,534,4,0.2857,Champions,3
14289.0,0,Actif,0.28577470547195505,0,Va rester,3 - Risque faible,8,3,594.22,198.07,30,98,0,0.0,Potentiellement Fidèles,0
16091.0,0,Actif,0.51878770577202,1,Risque churn,2 - Risque moyen,7,1,157.25,157.25,10,7,0,0.0,Nouveaux Clients,0
12747.0,0,Actif,0.10170484445690478,0,Va rester,3 - Risque faible,7,21,7171.93,341.52,79,541,6,0.2857,Champions,3
13728.0,0,Actif,0.14612374631636252,0,Va rester,3 - Risque faible,7,13,2332.96,179.46,65,539,0,0.0,Champions,3
18229.0,0,Actif,0.13570221249201458,0,Va rester,3 - Risque faible,7,16,6385.51,399.09,41,545,0,0.0,Champions,3
15882.0,1,Churné,0.19499267168322132,0,Va rester,3 - Risque faible,7,8,1495.98,187.0,49,538,2,0.25,Champions,3
12839.0,0,Actif,0.10684549354995657,0,Va rester,3 - Risque faible,7,16,5876.2,367.26,122,541,4,0.25,Champions,3
18226.0,0,Actif,0.061248891436788355,0,Va rester,3 - Risque faible,7,20,8863.75,443.19,249,453,10,0.5,Champions,3
14522.0,0,Actif,0.24620167096754988,0,Va rester,3 - Risque faible,7,5,1062.71,212.54,27,493,0,0.0,Champions,2
16092.0,0,Actif,0.22202561441792254,0,Va rester,3 - Risque faible,6,5,1363.81,272.76,55,388,2,0.4,Champions,0
15249.0,0,Actif,0.10294025920038695,0,Va rester,3 - Risque faible,5,10,5418.91,541.89,214,432,2,0.2,Champions,3
15104.0,1,Churné,0.27378353721525395,0,Va rester,3 - Risque faible,5,2,1027.44,513.72,66,91,0,0.0,Potentiellement Fidèles,0
17152.0,1,Churné,0.2825344602673516,0,Va rester,3 - Risque faible,3,4,2016.5,504.13,9,234,1,0.25,Potentiellement Fidèles,0
16746.0,0,Actif,0.025858960016120557,0,Va rester,3 - Risque faible,3,32,14257.92,445.56,314,544,3,0.0938,Champions,3
16168.0,0,Actif,0.030018181290673275,0,Va rester,3 - Risque faible,1,48,8100.68,168.76,112,545,6,0.125,Champions,3
16013.0,0,Actif,0.020954961487521375,0,Va rester,3 - Risque faible,1,59,32734.46,554.82,35,540,5,0.0847,Champions,3
13070.0,1,Churné,0.2658828921252233,0,Va rester,3 - Risque faible,1,4,751.7,187.93,12,541,1,0.25,Potentiellement Fidèles,2
18231.0,1,Churné,0.046182713767692694,0,Va rester,3 - Risque faible,1,28,6880.97,245.75,218,507,2,0.0714,Champions,3
16023.0,0,Actif,0.27504062114995786,0,Va rester,3 - Risque faible,1,2,500.69,250.35,59,75,0,0.0,Potentiellement Fidèles,0
17238.0,0,Actif,0.03195138616859278,0,Va rester,3 - Risque faible,15,23,5402.05,234.87,397,547,0,0.0,Champions,3
14040.0,0,Actif,0.03845139956267667,0,Va rester,3 - Risque faible,24,28,10480.03,374.29,298,547,4,0.1429,Champions,3
14341.0,0,Actif,0.12680420885186997,0,Va rester,3 - Risque faible,24,14,2988.19,213.44,126,547,2,0.1429,Champions,3
13097.0,0,Actif,0.04644417652257748,0,Va rester,3 - Risque faible,42,23,10383.06,451.44,338,547,9,0.3913,Champions,3
16887.0,0,Actif,0.5923355790401985,1,Risque churn,2 - Risque moyen,209,2,465.84,232.92,65,547,0,0.0,Sur le point de Partir,2
12836.0,0,Actif,0.09000712110036514,0,Va rester,3 - Risque faible,28,13,5634.16,433.4,243,547,2,0.1538,Champions,3
14865.0,1,Churné,0.5434832148975067,1,Risque churn,2 - Risque moyen,181,3,114.72,38.24,3,547,0,0.0,Besoin d'Attention,2
17246.0,1,Churné,0.7768961141382096,1,Risque churn,1 - Risque élevé,355,2,38.92,19.46,6,547,0,0.0,Perdus,2
14108.0,0,Actif,0.8786382584413888,1,Risque churn,1 - Risque élevé,540,2,447.05,223.53,18,547,0,0.0,Perdus,2
13648.0,1,Churné,0.3893601239909238,0,Va rester,3 - Risque faible,209,8,1764.02,220.5,95,547,3,0.375,En danger,3
16202.0,1,Churné,0.3151980829786732,0,Va rester,3 - Risque faible,169,9,2501.99,278.0,105,546,2,0.2222,Fidèles,3
12980.0,0,Actif,0.14207181758953083,0,Va rester,3 - Risque faible,19,18,13437.24,746.51,7,546,3,0.1667,Champions,3
13269.0,0,Actif,0.08916440916954725,0,Va rester,3 - Risque faible,27,18,5593.7,310.76,185,546,1,0.0556,Champions,3
14653.0,0,Actif,0.29254396953505696,0,Va rester,3 - Risque faible,147,6,2011.8,335.3,150,546,0,0.0,Fidèles,2
17019.0,1,Churné,0.10326436021997235,0,Va rester,3 - Risque faible,70,10,3735.52,373.55,308,546,2,0.2,Champions,3
17476.0,1,Churné,0.5892711033582487,1,Risque churn,2 - Risque moyen,204,2,489.86,244.93,29,546,2,1.0,Sur le point de Partir,2
14440.0,0,Actif,0.2894976439662433,0,Va rester,3 - Risque faible,125,10,5466.76,546.68,55,546,2,0.2,Fidèles,3
16711.0,0,Actif,0.3538832197995066,0,Va rester,3 - Risque faible,111,6,1816.25,302.71,11,546,1,0.1667,Fidèles,2
16126.0,0,Actif,0.2064512851574577,0,Va rester,3 - Risque faible,105,12,9250.38,770.87,125,546,0,0.0,Fidèles,3
15917.0,1,Churné,0.22917137914117183,0,Va rester,3 - Risque faible,56,5,560.63,112.13,127,546,0,0.0,Champions,2
14080.0,0,Actif,0.4894430831463879,0,Va rester,2 - Risque moyen,222,4,1070.08,267.52,70,546,1,0.25,Sur le point de Partir,2
17660.0,0,Actif,0.9444407800068526,1,Risque churn,1 - Risque élevé,546,1,163.47,163.47,42,546,0,0.0,Perdus,2
12934.0,1,Churné,0.9513665536274117,1,Risque churn,1 - Risque élevé,545,1,181.65,181.65,2,545,0,0.0,Perdus,2
15291.0,0,Actif,0.07438612001737231,0,Va rester,3 - Risque faible,56,34,11857.85,348.76,103,545,12,0.3529,Champions,3
17322.0,1,Churné,0.37678581670107814,0,Va rester,3 - Risque faible,185,5,922.59,184.52,115,545,2,0.4,Fidèles,2
13416.0,0,Actif,0.9502111316322427,1,Risque churn,1 - Risque élevé,545,1,228.3,228.3,7,545,0,0.0,Perdus,2
13895.0,0,Actif,0.6833382139039796,1,Risque churn,2 - Risque moyen,324,2,1415.45,707.73,67,545,1,0.5,Perdus,2
17293.0,0,Actif,0.2593543953739492,0,Va rester,3 - Risque faible,117,10,2368.47,236.85,91,545,0,0.0,Fidèles,2
17329.0,0,Actif,0.36944221172908986,0,Va rester,3 - Risque faible,124,4,724.68,181.17,73,545,0,0.0,Besoin d'Attention,2
17414.0,0,Actif,0.5669996094350729,1,Risque churn,2 - Risque moyen,232,4,1471.52,367.88,6,545,0,0.0,Sur le point de Partir,2
14755.0,0,Actif,0.08492564398036834,0,Va rester,3 - Risque faible,16,18,6824.78,379.15,184,545,5,0.2778,Champions,3
14710.0,0,Actif,0.2675351956413892,0,Va rester,3 - Risque faible,188,9,1316.46,146.27,203,545,0,0.0,Fidèles,3
16791.0,0,Actif,0.0785206623894796,0,Va rester,3 - Risque faible,22,12,2893.06,241.09,294,545,2,0.1667,Champions,3
14713.0,0,Actif,0.10010890748452227,0,Va rester,3 - Risque faible,27,16,3954.54,247.16,179,545,4,0.25,Champions,3
13154.0,1,Churné,0.48962300187289587,0,Va rester,2 - Risque moyen,208,3,1624.84,541.61,78,544,1,0.3333,Sur le point de Partir,2
16335.0,1,Churné,0.5196075326743281,1,Risque churn,2 - Risque moyen,360,7,2774.0,396.29,193,544,1,0.1429,En danger,2
13666.0,0,Actif,0.3839602325932367,0,Va rester,3 - Risque faible,96,4,107.3,26.83,15,544,0,0.0,Besoin d'Attention,2
16891.0,0,Actif,0.2492462225561951,0,Va rester,3 - Risque faible,180,7,1479.38,211.34,245,544,0,0.0,Fidèles,3
16699.0,1,Churné,0.4164718027707049,0,Va rester,2 - Risque moyen,189,7,994.6,142.09,51,544,1,0.1429,Fidèles,2
16451.0,0,Actif,0.7419804450877591,1,Risque churn,1 - Risque élevé,370,2,746.18,373.09,50,544,1,0.5,Perdus,2
15684.0,1,Churné,0.7188344704508851,1,Risque churn,1 - Risque élevé,356,3,173.95,57.98,9,544,3,1.0,En danger,2
15240.0,0,Actif,0.18438556240814463,0,Va rester,3 - Risque faible,50,9,3382.51,375.83,100,543,8,0.8889,Champions,3
15057.0,1,Churné,0.2991003440234819,0,Va rester,3 - Risque faible,84,5,3255.96,651.19,62,543,1,0.2,Champions,2
17642.0,0,Actif,0.5562845061159107,1,Risque churn,2 - Risque moyen,238,3,1112.2,370.73,58,543,0,0.0,Sur le point de Partir,2
15059.0,0,Actif,0.08515333371613325,0,Va rester,3 - Risque faible,24,14,2754.87,196.78,249,542,7,0.5,Champions,3
13782.0,0,Actif,0.1647664053377126,0,Va rester,3 - Risque faible,43,9,1243.02,138.11,141,542,1,0.1111,Champions,3
16718.0,1,Churné,0.36165971746329584,0,Va rester,3 - Risque faible,178,5,3647.53,729.51,123,542,0,0.0,Fidèles,2
14479.0,1,Churné,0.2519311029805261,0,Va rester,3 - Risque faible,62,4,1299.11,324.78,127,542,0,0.0,Potentiellement Fidèles,2
14123.0,1,Churné,0.9449242929314603,1,Risque churn,1 - Risque élevé,542,1,436.18,436.18,24,542,0,0.0,Perdus,2
16436.0,1,Churné,0.8212319463997828,1,Risque churn,1 - Risque élevé,477,3,329.34,109.78,37,542,1,0.3333,En danger,2
18077.0,0,Actif,0.16647819013020487,0,Va rester,3 - Risque faible,35,11,2584.93,234.99,95,541,0,0.0,Champions,3
14307.0,0,Actif,0.16866482302033484,0,Va rester,3 - Risque faible,28,7,3770.29,538.61,150,541,1,0.1429,Champions,3
14590.0,1,Churné,0.28203071713270456,0,Va rester,3 - Risque faible,233,20,3006.62,150.33,124,541,8,0.4,En danger,3
13393.0,1,Churné,0.7193564637543017,1,Risque churn,1 - Risque élevé,392,4,1131.45,282.86,53,541,2,0.5,En danger,2
16400.0,0,Actif,0.30174845516922655,0,Va rester,3 - Risque faible,204,8,2855.51,356.94,187,540,0,0.0,En danger,3
17978.0,1,Churné,0.44517873786246454,0,Va rester,2 - Risque moyen,174,4,1461.76,365.44,62,540,0,0.0,Besoin d'Attention,2
15031.0,0,Actif,0.15556066623749798,0,Va rester,3 - Risque faible,91,11,2639.27,239.93,205,540,2,0.1818,Champions,3
15633.0,1,Churné,0.49724622416004055,0,Va rester,2 - Risque moyen,318,13,4352.46,334.8,77,540,5,0.3846,En danger,3
14732.0,0,Actif,0.13588676367512967,0,Va rester,3 - Risque faible,29,14,3795.06,271.08,112,539,3,0.2143,Champions,3
14171.0,0,Actif,0.9494495802437766,1,Risque churn,1 - Risque élevé,539,1,135.0,135.0,6,539,0,0.0,Perdus,2
16933.0,1,Churné,0.1461728128413791,0,Va rester,3 - Risque faible,48,8,2842.75,355.34,193,539,6,0.75,Champions,3
15841.0,0,Actif,0.21867492492039292,0,Va rester,3 - Risque faible,27,7,2131.61,304.52,47,538,1,0.1429,Champions,2
14942.0,1,Churné,0.5307660062300551,1,Risque churn,2 - Risque moyen,210,4,746.56,186.64,12,538,1,0.25,Sur le point de Partir,2
16293.0,0,Actif,0.14848889947645752,0,Va rester,3 - Risque faible,16,9,3538.7,393.19,130,537,2,0.2222,Champions,3
15197.0,1,Churné,0.2891611035498317,0,Va rester,3 - Risque faible,61,5,1571.15,314.23,35,537,3,0.6,Champions,2
13415.0,1,Churné,0.5640847819787369,1,Risque churn,2 - Risque moyen,281,4,800.67,200.17,85,537,1,0.25,En danger,2
15144.0,0,Actif,0.11619001441692457,0,Va rester,3 - Risque faible,26,17,7274.89,427.93,121,535,4,0.2353,Champions,3
12843.0,0,Actif,0.08962029463722497,0,Va rester,3 - Risque faible,22,25,5513.21,220.53,105,535,3,0.12,Champions,3
16127.0,0,Actif,0.9428264557222407,1,Risque churn,1 - Risque élevé,535,1,145.06,145.06,35,535,0,0.0,Perdus,2
17066.0,1,Churné,0.9457542318839987,1,Risque churn,1 - Risque élevé,535,1,228.34,228.34,17,535,0,0.0,Perdus,2
17290.0,0,Actif,0.3976556588756066,0,Va rester,3 - Risque faible,190,6,976.2,162.7,96,535,0,0.0,Fidèles,2
15562.0,1,Churné,0.4875555507966269,0,Va rester,2 - Risque moyen,160,3,673.38,224.46,32,535,0,0.0,Besoin d'Attention,2
14466.0,0,Actif,0.2488764998675628,0,Va rester,3 - Risque faible,89,9,3410.15,378.91,73,535,0,0.0,Champions,2
14977.0,1,Churné,0.9491779078372365,1,Risque churn,1 - Risque élevé,534,1,31.93,31.93,4,534,0,0.0,Perdus,2
17825.0,1,Churné,0.7646330439028589,1,Risque churn,1 - Risque élevé,407,4,731.96,182.99,24,534,0,0.0,En danger,2
12920.0,0,Actif,0.7466103307283457,1,Risque churn,1 - Risque élevé,380,3,323.86,107.95,32,534,0,0.0,En danger,2
16713.0,0,Actif,0.034217975636364056,0,Va rester,3 - Risque faible,44,25,10249.19,409.97,410,533,7,0.28,Champions,3
12941.0,1,Churné,0.9421876508894798,1,Risque churn,1 - Risque élevé,533,1,377.49,377.49,27,533,0,0.0,Perdus,2
15070.0,1,Churné,0.5141391995692897,1,Risque churn,2 - Risque moyen,181,3,843.25,281.08,26,533,0,0.0,Besoin d'Attention,2
16308.0,0,Actif,0.2773534898669705,0,Va rester,3 - Risque faible,26,5,3520.0,704.0,1,533,0,0.0,Champions,2
15713.0,0,Actif,0.47628590268490245,0,Va rester,2 - Risque moyen,175,3,825.24,275.08,39,532,2,0.6667,Besoin d'Attention,2
16366.0,0,Actif,0.73837227185851,1,Risque churn,1 - Risque élevé,391,3,1220.83,406.94,57,532,0,0.0,En danger,2
15499.0,1,Churné,0.9408142232623103,1,Risque churn,1 - Risque élevé,532,1,161.6,161.6,40,532,0,0.0,Perdus,2
18012.0,1,Churné,0.9464557920698226,1,Risque churn,1 - Risque élevé,532,1,115.3,115.3,13,532,0,0.0,Perdus,2
13403.0,0,Actif,0.6314774480960627,1,Risque churn,2 - Risque moyen,196,2,154.5,77.25,6,532,0,0.0,Sur le point de Partir,2
17833.0,1,Churné,0.9419477694888048,1,Risque churn,1 - Risque élevé,532,1,342.36,342.36,28,532,0,0.0,Perdus,2
15222.0,1,Churné,0.2504692511371621,0,Va rester,3 - Risque faible,127,11,3550.91,322.81,98,532,6,0.5455,Fidèles,3
14329.0,0,Actif,0.12421861939374745,0,Va rester,3 - Risque faible,82,10,7037.98,703.8,265,532,9,0.9,Champions,3
16888.0,1,Churné,0.5361730548712397,1,Risque churn,2 - Risque moyen,209,3,437.15,145.72,44,510,0,0.0,Sur le point de Partir,2
16057.0,0,Actif,0.1726402845292431,0,Va rester,3 - Risque faible,20,6,2651.27,441.88,128,510,6,1.0,Champions,3
15827.0,0,Actif,0.10869015891452181,0,Va rester,3 - Risque faible,24,23,2869.67,124.77,90,509,12,0.5217,Champions,3
16027.0,0,Actif,0.20263292477527237,0,Va rester,3 - Risque faible,27,12,1630.41,135.87,14,509,3,0.25,Champions,3
17113.0,1,Churné,0.6338107594918643,1,Risque churn,2 - Risque moyen,383,6,2322.59,387.1,122,506,2,0.3333,En danger,2
17139.0,0,Actif,0.05124829263916821,0,Va rester,3 - Risque faible,19,17,13621.89,801.29,348,506,2,0.1176,Champions,3
15747.0,0,Actif,0.39781631468346756,0,Va rester,3 - Risque faible,184,6,1588.57,264.76,78,499,1,0.1667,Fidèles,2
17048.0,0,Actif,0.2738167588846031,0,Va rester,3 - Risque faible,91,6,1906.73,317.79,83,499,3,0.5,Champions,3
17220.0,0,Actif,0.08110747529155646,0,Va rester,3 - Risque faible,15,12,2748.28,229.02,277,497,0,0.0,Champions,3
13650.0,0,Actif,0.1931471236964759,0,Va rester,3 - Risque faible,16,6,2197.18,366.2,84,491,6,1.0,Champions,3
15950.0,0,Actif,0.25797130393654155,0,Va rester,3 - Risque faible,168,7,5844.02,834.86,194,491,2,0.2857,Fidèles,3
15845.0,0,Actif,0.21110450761920765,0,Va rester,3 - Risque faible,19,6,2251.67,375.28,77,491,2,0.3333,Champions,3
15766.0,0,Actif,0.6664523005240505,1,Risque churn,2 - Risque moyen,265,2,516.0,258.0,15,491,1,0.5,Sur le point de Partir,2
16051.0,1,Churné,0.9335185279259329,1,Risque churn,1 - Risque élevé,490,1,188.44,188.44,12,490,0,0.0,Perdus,2
18016.0,0,Actif,0.36991031545882674,0,Va rester,3 - Risque faible,124,4,801.65,200.41,68,490,0,0.0,Fidèles,2
15588.0,1,Churné,0.9307696500766843,1,Risque churn,1 - Risque élevé,486,1,579.6,579.6,4,486,0,0.0,Perdus,2
15338.0,1,Churné,0.9202031775420135,1,Risque churn,1 - Risque élevé,486,1,283.43,283.43,56,486,0,0.0,Perdus,2
15317.0,1,Churné,0.9254238744762143,1,Risque churn,1 - Risque élevé,486,1,129.75,129.75,5,486,1,1.0,Perdus,2
13511.0,1,Churné,0.9236390789008767,1,Risque churn,1 - Risque élevé,485,1,282.76,282.76,5,485,1,1.0,Perdus,2
13584.0,1,Churné,0.3764049175173818,0,Va rester,3 - Risque faible,115,3,392.45,130.82,74,484,2,0.6667,Besoin d'Attention,2
16225.0,0,Actif,0.17859906332050218,0,Va rester,3 - Risque faible,86,12,2187.7,182.31,149,479,3,0.25,Champions,3
16078.0,1,Churné,0.4831957739329262,0,Va rester,2 - Risque moyen,92,2,362.99,181.5,39,478,0,0.0,Potentiellement Fidèles,2
13293.0,1,Churné,0.45154071075788454,0,Va rester,2 - Risque moyen,201,6,1192.94,198.82,51,477,1,0.1667,En danger,2
13985.0,0,Actif,0.17693594538098897,0,Va rester,3 - Risque faible,23,9,3601.53,400.17,85,477,1,0.1111,Champions,3
16577.0,1,Churné,0.9238516994169929,1,Risque churn,1 - Risque élevé,475,1,380.0,380.0,23,475,0,0.0,Perdus,2
15504.0,0,Actif,0.6813947927044428,1,Risque churn,2 - Risque moyen,329,3,371.02,123.67,33,474,1,0.3333,En danger,2
13875.0,0,Actif,0.17258688328099261,0,Va rester,3 - Risque faible,66,11,3711.26,337.39,126,531,0,0.0,Champions,3
17103.0,1,Churné,0.9402293540874171,1,Risque churn,1 - Risque élevé,531,1,424.3,424.3,32,531,0,0.0,Perdus,2
15270.0,0,Actif,0.14691132153496325,0,Va rester,3 - Risque faible,47,18,7459.12,414.4,65,531,9,0.5,Champions,3
16772.0,1,Churné,0.5218268664384976,1,Risque churn,2 - Risque moyen,232,3,3723.55,1241.18,54,530,2,0.6667,Sur le point de Partir,2
16222.0,1,Churné,0.43649947222968105,0,Va rester,2 - Risque moyen,127,2,1345.22,672.61,133,530,0,0.0,Besoin d'Attention,2
14949.0,1,Churné,0.6101093944694526,1,Risque churn,2 - Risque moyen,278,4,515.0,128.75,16,530,2,0.5,En danger,2
17324.0,0,Actif,0.2906252587462898,0,Va rester,3 - Risque faible,140,10,2013.87,201.39,85,530,1,0.1,Fidèles,2
14480.0,1,Churné,0.5235799203872238,1,Risque churn,2 - Risque moyen,211,3,1020.47,340.16,43,527,1,0.3333,Sur le point de Partir,2
14151.0,1,Churné,0.8216522135111168,1,Risque churn,1 - Risque élevé,482,2,679.45,339.73,44,525,1,0.5,Perdus,2
16875.0,0,Actif,0.235328238176564,0,Va rester,3 - Risque faible,105,9,2944.09,327.12,115,512,7,0.7778,Fidèles,3
13901.0,0,Actif,0.14584917359147812,0,Va rester,3 - Risque faible,65,12,3457.44,288.12,178,512,5,0.4167,Champions,3
18171.0,0,Actif,0.24493078198220528,0,Va rester,3 - Risque faible,47,6,1670.59,278.43,58,512,1,0.1667,Champions,2
13338.0,0,Actif,0.6144187142698343,1,Risque churn,2 - Risque moyen,350,3,1958.6,652.87,101,512,4,1.3333,En danger,2
17945.0,1,Churné,0.8282758208891439,1,Risque churn,1 - Risque élevé,505,3,360.35,120.12,66,505,0,0.0,En danger,2
17352.0,1,Churné,0.9409318523225584,1,Risque churn,1 - Risque élevé,505,1,36.25,36.25,5,505,0,0.0,Perdus,2
16585.0,1,Churné,0.7980110692770344,1,Risque churn,1 - Risque élevé,402,2,341.59,170.8,16,504,0,0.0,Perdus,2
17496.0,1,Churné,0.4263925576469485,0,Va rester,2 - Risque moyen,167,4,1412.89,353.22,54,503,1,0.25,Fidèles,2
13233.0,0,Actif,0.44205519846246766,0,Va rester,2 - Risque moyen,145,3,875.58,291.86,49,503,0,0.0,Besoin d'Attention,2
15359.0,1,Churné,0.7998240139971432,1,Risque churn,1 - Risque élevé,471,8,181.35,22.67,10,502,1,0.125,En danger,2
18106.0,1,Churné,0.30530330556772944,0,Va rester,3 - Risque faible,138,6,1461.46,243.58,126,502,0,0.0,Fidèles,2
12860.0,1,Churné,0.9375479969187479,1,Risque churn,1 - Risque élevé,502,1,55.47,55.47,16,502,0,0.0,Perdus,2
13869.0,0,Actif,0.07293892914508307,0,Va rester,3 - Risque faible,71,9,6591.58,732.4,425,500,0,0.0,Champions,3
13616.0,1,Churné,0.7677191281373801,1,Risque churn,1 - Risque élevé,377,2,288.1,144.05,31,500,0,0.0,Perdus,2
14854.0,0,Actif,0.19104341585791942,0,Va rester,3 - Risque faible,36,7,2754.36,393.48,110,495,2,0.2857,Champions,3
17618.0,1,Churné,0.1406291722452888,0,Va rester,3 - Risque faible,57,10,3768.44,376.84,196,493,2,0.2,Champions,3
13209.0,0,Actif,0.16181149556621016,0,Va rester,3 - Risque faible,36,8,4980.34,622.54,170,493,2,0.25,Champions,3
14986.0,1,Churné,0.5337332726419073,1,Risque churn,2 - Risque moyen,185,2,566.9,283.45,87,493,0,0.0,Besoin d'Attention,2
18199.0,1,Churné,0.9217558758172097,1,Risque churn,1 - Risque élevé,492,1,344.75,344.75,20,492,1,1.0,Perdus,2
17695.0,0,Actif,0.532705265258497,1,Risque churn,2 - Risque moyen,203,3,980.7,326.9,20,489,1,0.3333,Sur le point de Partir,2
13820.0,1,Churné,0.5153669166224617,1,Risque churn,2 - Risque moyen,227,3,660.65,220.22,68,489,2,0.6667,Sur le point de Partir,2
13615.0,1,Churné,0.1770490135538152,0,Va rester,3 - Risque faible,127,8,6272.53,784.07,259,489,4,0.5,Fidèles,3
15192.0,0,Actif,0.49218568713983585,0,Va rester,2 - Risque moyen,174,3,1252.07,417.36,40,488,0,0.0,Besoin d'Attention,2
13480.0,1,Churné,0.6271729547543945,1,Risque churn,2 - Risque moyen,225,2,627.82,313.91,40,488,0,0.0,Sur le point de Partir,2
15251.0,0,Actif,0.1320401980368566,0,Va rester,3 - Risque faible,19,12,13935.27,1161.27,137,488,7,0.5833,Champions,3
16673.0,1,Churné,0.9312068009840081,1,Risque churn,1 - Risque élevé,488,1,188.83,188.83,19,488,0,0.0,Perdus,2
17876.0,1,Churné,0.5662094309187646,1,Risque churn,2 - Risque moyen,208,3,3424.02,1141.34,3,484,0,0.0,Sur le point de Partir,2
13975.0,0,Actif,0.08065784981175511,0,Va rester,3 - Risque faible,24,8,3794.17,474.27,345,484,2,0.25,Champions,3
15321.0,0,Actif,0.17232840768870428,0,Va rester,3 - Risque faible,100,10,5120.89,512.09,206,483,5,0.5,Fidèles,3
14399.0,1,Churné,0.36226540150466807,0,Va rester,3 - Risque faible,203,8,2113.16,264.15,119,483,1,0.125,En danger,2
18101.0,0,Actif,0.4837325761400509,0,Va rester,2 - Risque moyen,183,3,405.51,135.17,62,483,0,0.0,Besoin d'Attention,2
13619.0,1,Churné,0.7389074923382147,1,Risque churn,1 - Risque élevé,353,2,231.69,115.85,39,483,0,0.0,Perdus,2
14545.0,1,Churné,0.9270777176873891,1,Risque churn,1 - Risque élevé,483,1,349.25,349.25,23,483,0,0.0,Perdus,2
